Date,Open,High,Low,Close
2011-07-25,112.67,113.01,112.03,112.48
2011-07-26,112.49,113.48,112.27,113.13
2011-07-27,113.11,113.23,111.93,111.93
2011-07-28,111.94,112.09,110.82,111.3
2011-07-29,111.35,111.55,110.39,110.51
2011-08-01,111.13,112.23,108.73,110.31
2011-08-02,110.28,110.9,109.19,109.79
2011-08-03,109.72,110.65,109.07,110.56
2011-08-04,110.65,114.17,110.45,111.58
2011-08-05,111.39,112.27,110.34,111.92
2011-08-08,112.31,112.35,109.75,110.26
2011-08-09,110.29,111.2,109.1,111.17
2011-08-10,111.25,111.25,108.3,108.73
2011-08-11,108.71,109.84,108.03,109.45
2011-08-12,109.45,109.6,108.52,109.28
2011-08-15,109.72,111.04,109.59,110.97
2011-08-16,110.95,111.05,110.1,110.62
2011-08-17,110.61,110.97,109.78,110.49
2011-08-18,110.53,110.71,109.25,109.61
2011-08-19,109.63,110.26,109.01,110.2
2011-08-22,110.41,110.92,110.01,110.32
2011-08-23,110.32,111.09,110.07,110.65
2011-08-24,110.65,111.14,110.15,110.88
2011-08-25,110.89,111.66,110.61,111.34
2011-08-26,111.31,111.59,110.13,111.17
2011-08-29,111.18,111.93,111,111.54
2011-08-30,111.55,111.79,110.44,110.79
2011-08-31,110.8,110.88,109.9,110.24
2011-09-01,110.25,110.93,109.52,109.72
2011-09-02,109.68,109.88,108.85,109.07
2011-09-05,108.85,108.9,108.14,108.44
2011-09-06,108.43,109.94,107.83,108.58
2011-09-07,108.57,109.08,108.27,108.82
2011-09-08,108.84,109.03,107.54,107.62
2011-09-09,107.64,107.98,105.3,106.06
2011-09-12,105.26,105.75,103.9,105.36
2011-09-13,105.37,105.56,104.41,105.2
2011-09-14,105.2,105.58,104.54,105.4
2011-09-15,105.39,106.98,105.08,106.5
2011-09-16,106.48,106.52,105.54,105.95
2011-09-19,105.23,105.48,103.95,104.69
2011-09-20,104.78,105.17,103.97,104.75
2011-09-21,104.72,105.29,103.67,103.87
2011-09-22,103.85,104.37,102.23,102.64
2011-09-23,102.66,103.73,102.24,103.39
2011-09-26,103.43,103.77,101.92,103.31
2011-09-27,103.33,104.95,102.86,104.25
2011-09-28,104.26,104.5,103.5,103.51
2011-09-29,103.53,104.93,103.31,104.36
2011-09-30,104.37,104.4,103.02,103.12
2011-10-03,102.91,103.23,100.75,101.07
2011-10-04,101.06,102.78,100.8,102.49
2011-10-05,102.49,102.73,101.62,102.49
2011-10-06,102.48,103.1,101.68,102.97
2011-10-07,102.98,103.87,102.59,102.64
2011-10-10,102.82,104.99,102.73,104.56
2011-10-11,104.55,104.9,104.02,104.67
2011-10-12,104.65,107.04,104.18,106.43
2011-10-13,106.46,106.56,105.12,105.87
2011-10-14,105.88,107.44,105.58,107.16
2011-10-17,107.08,107.67,105.36,105.54
2011-10-18,105.52,106.2,104.77,105.46
2011-10-19,105.47,106.55,105.32,105.71
2011-10-20,105.7,106.3,104.87,105.85
2011-10-21,105.81,106.1,105.01,105.98
2011-10-24,105.72,106.46,105.14,106.04
2011-10-25,106.02,106.32,105.26,105.81
2011-10-26,105.83,106.16,104.75,105.96
2011-10-27,105.92,108.12,105.67,107.74
2011-10-28,107.73,107.9,107.08,107.27
2011-10-31,107.14,111.56,107,108.36
2011-11-01,108.36,109.25,106.49,107.09
2011-11-02,107.09,107.9,106.89,107.19
2011-11-03,107.18,108.06,106.57,107.89
2011-11-04,107.88,108.27,107.21,107.9
2011-11-07,107.94,107.97,106.86,107.47
2011-11-08,107.49,107.63,107.09,107.49
2011-11-09,107.5,107.57,105.13,105.13
2011-11-10,105.17,105.98,104.72,105.68
2011-11-11,105.66,106.38,105.36,106.15
2011-11-14,106.34,106.45,104.76,105.01
